LSOA code,Year,Month_Num,Burglary_Count,Precise_Daylight_Hours,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Other Asian","Asian, Asian British or Asian Welsh: Pakistani","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Does not apply_x,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Other ethnic group: Any other ethnic group,Other ethnic group: Arab,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Other White,White: Roma,A caravan or other mobile or temporary structure,"Flat, maisonette or apartment",Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,Does not apply_y,Owned: Owns outright,Owned: Owns with a mortgage or loan or shared ownership,Private rented or lives rent free,Rented: Social rented,Does not apply_x.1,Over 0.5 and up to 1.0 people per room,Over 1.0 and up to 1.5 people per room,Over 1.5 people per room,Up to and including 0.5 people per room,"A, B, D, E Agriculture, energy and water",C Manufacturing,Does not apply_y.1,F Construction,"G, I Distribution, hotels and restaurants","H, J Transport and communication","K, L, M, N Financial, real estate, professional and administrative activities","O, P, Q Public administration, education and health","R, S, T, U Other",Does not apply,"L1, L2 and L3: Higher managerial, administrative and professional occupations",L10 and L11: Lower supervisory and technical occupations,L12: Semi-routine occupations,L13: Routine occupations,L14.1 and L14.2: Never worked and long-term unemployed,L15: Full-time students,"L4, L5 and L6: Lower managerial, administrative and professional occupations",L7: Intermediate occupations,L8 and L9: Small employers and own account workers
E01000001,2022,12,1,7.93,4.0,66.0,49.0,37.0,2.0,8.0,3.0,0.0,0.0,18.0,28.0,8.0,2.0,46.0,22.0,822.0,0.0,32.0,316.0,11.0,0.0,821.0,0.0,3.0,15.0,0.0,338.0,148.0,331.0,22.0,0.0,374.0,16.0,19.0,430.0,2.0,25.0,609.0,10.0,52.0,127.0,398.0,168.0,83.0,125.0,618.0,11.0,33.0,16.0,37.0,84.0,369.0,71.0,115.0
E01000001,2023,1,1,8.07,4.0,66.0,49.0,37.0,2.0,8.0,3.0,0.0,0.0,18.0,28.0,8.0,2.0,46.0,22.0,822.0,0.0,32.0,316.0,11.0,0.0,821.0,0.0,3.0,15.0,0.0,338.0,148.0,331.0,22.0,0.0,374.0,16.0,19.0,430.0,2.0,25.0,609.0,10.0,52.0,127.0,398.0,168.0,83.0,125.0,618.0,11.0,33.0,16.0,37.0,84.0,369.0,71.0,115.0
E01000001,2023,4,1,13.93,4.0,66.0,49.0,37.0,2.0,8.0,3.0,0.0,0.0,18.0,28.0,8.0,2.0,46.0,22.0,822.0,0.0,32.0,316.0,11.0,0.0,821.0,0.0,3.0,15.0,0.0,338.0,148.0,331.0,22.0,0.0,374.0,16.0,19.0,430.0,2.0,25.0,609.0,10.0,52.0,127.0,398.0,168.0,83.0,125.0,618.0,11.0,33.0,16.0,37.0,84.0,369.0,71.0,115.0
E01000001,2023,5,2,15.87,4.0,66.0,49.0,37.0,2.0,8.0,3.0,0.0,0.0,18.0,28.0,8.0,2.0,46.0,22.0,822.0,0.0,32.0,316.0,11.0,0.0,821.0,0.0,3.0,15.0,0.0,338.0,148.0,331.0,22.0,0.0,374.0,16.0,19.0,430.0,2.0,25.0,609.0,10.0,52.0,127.0,398.0,168.0,83.0,125.0,618.0,11.0,33.0,16.0,37.0,84.0,369.0,71.0,115.0
E01000001,2023,6,2,16.37,4.0,66.0,49.0,37.0,2.0,8.0,3.0,0.0,0.0,18.0,28.0,8.0,2.0,46.0,22.0,822.0,0.0,32.0,316.0,11.0,0.0,821.0,0.0,3.0,15.0,0.0,338.0,148.0,331.0,22.0,0.0,374.0,16.0,19.0,430.0,2.0,25.0,609.0,10.0,52.0,127.0,398.0,168.0,83.0,125.0,618.0,11.0,33.0,16.0,37.0,84.0,369.0,71.0,115.0
E01000001,2023,7,1,15.8,4.0,66.0,49.0,37.0,2.0,8.0,3.0,0.0,0.0,18.0,28.0,8.0,2.0,46.0,22.0,822.0,0.0,32.0,316.0,11.0,0.0,821.0,0.0,3.0,15.0,0.0,338.0,148.0,331.0,22.0,0.0,374.0,16.0,19.0,430.0,2.0,25.0,609.0,10.0,52.0,127.0,398.0,168.0,83.0,125.0,618.0,11.0,33.0,16.0,37.0,84.0,369.0,71.0,115.0
E01000001,2023,11,1,8.4,4.0,66.0,49.0,37.0,2.0,8.0,3.0,0.0,0.0,18.0,28.0,8.0,2.0,46.0,22.0,822.0,0.0,32.0,316.0,11.0,0.0,821.0,0.0,3.0,15.0,0.0,338.0,148.0,331.0,22.0,0.0,374.0,16.0,19.0,430.0,2.0,25.0,609.0,10.0,52.0,127.0,398.0,168.0,83.0,125.0,618.0,11.0,33.0,16.0,37.0,84.0,369.0,71.0,115.0
E01000001,2024,1,1,8.07,4.0,66.0,49.0,37.0,2.0,8.0,3.0,0.0,0.0,18.0,28.0,8.0,2.0,46.0,22.0,822.0,0.0,32.0,316.0,11.0,0.0,821.0,0.0,3.0,15.0,0.0,338.0,148.0,331.0,22.0,0.0,374.0,16.0,19.0,430.0,2.0,25.0,609.0,10.0,52.0,127.0,398.0,168.0,83.0,125.0,618.0,11.0,33.0,16.0,37.0,84.0,369.0,71.0,115.0
E01000001,2024,3,1,11.93,4.0,66.0,49.0,37.0,2.0,8.0,3.0,0.0,0.0,18.0,28.0,8.0,2.0,46.0,22.0,822.0,0.0,32.0,316.0,11.0,0.0,821.0,0.0,3.0,15.0,0.0,338.0,148.0,331.0,22.0,0.0,374.0,16.0,19.0,430.0,2.0,25.0,609.0,10.0,52.0,127.0,398.0,168.0,83.0,125.0,618.0,11.0,33.0,16.0,37.0,84.0,369.0,71.0,115.0
E01000001,2024,7,2,15.8,4.0,66.0,49.0,37.0,2.0,8.0,3.0,0.0,0.0,18.0,28.0,8.0,2.0,46.0,22.0,822.0,0.0,32.0,316.0,11.0,0.0,821.0,0.0,3.0,15.0,0.0,338.0,148.0,331.0,22.0,0.0,374.0,16.0,19.0,430.0,2.0,25.0,609.0,10.0,52.0,127.0,398.0,168.0,83.0,125.0,618.0,11.0,33.0,16.0,37.0,84.0,369.0,71.0,115.0
E01000001,2024,11,1,8.4,4.0,66.0,49.0,37.0,2.0,8.0,3.0,0.0,0.0,18.0,28.0,8.0,2.0,46.0,22.0,822.0,0.0,32.0,316.0,11.0,0.0,821.0,0.0,3.0,15.0,0.0,338.0,148.0,331.0,22.0,0.0,374.0,16.0,19.0,430.0,2.0,25.0,609.0,10.0,52.0,127.0,398.0,168.0,83.0,125.0,618.0,11.0,33.0,16.0,37.0,84.0,369.0,71.0,115.0
E01000001,2024,12,1,7.93,4.0,66.0,49.0,37.0,2.0,8.0,3.0,0.0,0.0,18.0,28.0,8.0,2.0,46.0,22.0,822.0,0.0,32.0,316.0,11.0,0.0,821.0,0.0,3.0,15.0,0.0,338.0,148.0,331.0,22.0,0.0,374.0,16.0,19.0,430.0,2.0,25.0,609.0,10.0,52.0,127.0,398.0,168.0,83.0,125.0,618.0,11.0,33.0,16.0,37.0,84.0,369.0,71.0,115.0
E01000002,2010,12,1,7.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2011,1,2,8.07,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2011,2,1,9.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2011,3,2,11.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2011,4,2,13.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2011,5,1,15.87,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2011,7,1,15.8,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2011,8,1,14.4,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2011,12,1,7.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2012,1,1,8.07,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2012,3,4,11.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2012,4,2,13.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2012,5,1,15.87,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2012,6,1,16.37,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2012,7,1,15.8,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2013,1,4,8.07,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2013,4,1,13.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2013,6,1,16.37,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2013,7,1,15.8,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2014,1,3,8.07,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2014,2,2,9.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2014,3,1,11.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2014,4,2,13.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2014,5,2,15.87,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2014,10,1,10.5,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2015,1,1,8.07,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2015,2,1,9.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2015,3,2,11.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2015,11,1,8.4,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2016,3,3,11.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2016,5,2,15.87,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2016,6,1,16.37,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2016,12,1,7.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2017,2,1,9.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2017,11,1,8.4,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2018,4,1,13.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2018,9,1,12.43,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2018,11,1,8.4,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2019,4,1,13.93,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2019,8,2,14.4,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2019,9,1,12.43,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2019,10,1,10.5,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2019,11,1,8.4,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
E01000002,2020,1,1,8.07,7.0,102.0,37.0,32.0,3.0,9.0,2.0,0.0,0.0,28.0,26.0,4.0,2.0,37.0,13.0,734.0,0.0,42.0,302.0,6.0,0.0,791.0,1.0,2.0,28.0,0.0,282.0,151.0,362.0,27.0,0.0,367.0,16.0,13.0,426.0,1.0,22.0,506.0,10.0,50.0,110.0,474.0,142.0,71.0,86.0,631.0,7.0,15.0,10.0,40.0,88.0,358.0,55.0,95.0
